OF_id,fornecedor,categoria,valor,prazo_entrega,dias_para_vencer,risk_score,prioridade,motivo_notificacao,assunto,mensagem,status_envio
249,Fornecedor_20,Equipamentos,7681.83,2023-12-02,-910,0.6802267344831394,Média,prazo próximo do vencimento,Acompanhamento da OF 249 - prioridade Média,"Prezado fornecedor Fornecedor_20,

A Ordem de Fornecimento 249 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-12-02 00:00:00 e o escore de risco calculado é 0.68.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
250,Fornecedor_19,Medicamentos,43429.34,2023-07-30,-1035,0.2945661012857437,Baixa,prazo próximo do vencimento,Acompanhamento da OF 250 - prioridade Baixa,"Prezado fornecedor Fornecedor_19,

A Ordem de Fornecimento 250 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-07-30 00:00:00 e o escore de risco calculado é 0.29.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
251,Fornecedor_20,Insumos,40020.01,2023-08-01,-1033,0.7039452678928579,Alta,risco preditivo elevado; prazo próximo do vencimento,Acompanhamento da OF 251 - prioridade Alta,"Prezado fornecedor Fornecedor_20,

A Ordem de Fornecimento 251 apresenta prioridade Alta no acompanhamento de entrega. O prazo registrado é 2023-08-01 00:00:00 e o escore de risco calculado é 0.70.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
252,Fornecedor_10,Equipamentos,15148.07,2023-06-13,-1082,0.7510859804501632,Alta,risco preditivo elevado; prazo próximo do vencimento,Acompanhamento da OF 252 - prioridade Alta,"Prezado fornecedor Fornecedor_10,

A Ordem de Fornecimento 252 apresenta prioridade Alta no acompanhamento de entrega. O prazo registrado é 2023-06-13 00:00:00 e o escore de risco calculado é 0.75.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
253,Fornecedor_13,Equipamentos,47709.51,2023-07-07,-1058,0.3190039538954981,Baixa,prazo próximo do vencimento,Acompanhamento da OF 253 - prioridade Baixa,"Prezado fornecedor Fornecedor_13,

A Ordem de Fornecimento 253 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-07-07 00:00:00 e o escore de risco calculado é 0.32.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
254,Fornecedor_14,Insumos,24518.64,2023-07-05,-1060,0.2862869326138976,Baixa,prazo próximo do vencimento,Acompanhamento da OF 254 - prioridade Baixa,"Prezado fornecedor Fornecedor_14,

A Ordem de Fornecimento 254 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-07-05 00:00:00 e o escore de risco calculado é 0.29.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
255,Fornecedor_6,Tecnologia,49066.12,2023-06-12,-1083,0.386174584352916,Baixa,prazo próximo do vencimento,Acompanhamento da OF 255 - prioridade Baixa,"Prezado fornecedor Fornecedor_6,

A Ordem de Fornecimento 255 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-06-12 00:00:00 e o escore de risco calculado é 0.39.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
256,Fornecedor_20,Tecnologia,15357.68,2023-06-16,-1079,0.3642032743527174,Baixa,prazo próximo do vencimento,Acompanhamento da OF 256 - prioridade Baixa,"Prezado fornecedor Fornecedor_20,

A Ordem de Fornecimento 256 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-06-16 00:00:00 e o escore de risco calculado é 0.36.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
257,Fornecedor_18,Insumos,7699.06,2023-11-07,-935,0.2550338585584477,Baixa,prazo próximo do vencimento,Acompanhamento da OF 257 - prioridade Baixa,"Prezado fornecedor Fornecedor_18,

A Ordem de Fornecimento 257 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-11-07 00:00:00 e o escore de risco calculado é 0.26.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
258,Fornecedor_7,Equipamentos,43840.61,2023-06-26,-1069,0.5396421461957875,Média,prazo próximo do vencimento,Acompanhamento da OF 258 - prioridade Média,"Prezado fornecedor Fornecedor_7,

A Ordem de Fornecimento 258 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-06-26 00:00:00 e o escore de risco calculado é 0.54.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
259,Fornecedor_16,Tecnologia,9329.88,2023-08-01,-1033,0.2236902950206484,Baixa,prazo próximo do vencimento,Acompanhamento da OF 259 - prioridade Baixa,"Prezado fornecedor Fornecedor_16,

A Ordem de Fornecimento 259 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-08-01 00:00:00 e o escore de risco calculado é 0.22.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
260,Fornecedor_11,Equipamentos,18914.69,2023-11-28,-914,0.1534447407369489,Baixa,prazo próximo do vencimento,Acompanhamento da OF 260 - prioridade Baixa,"Prezado fornecedor Fornecedor_11,

A Ordem de Fornecimento 260 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-11-28 00:00:00 e o escore de risco calculado é 0.15.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
261,Fornecedor_1,Medicamentos,13653.6,2023-06-27,-1068,0.2732630182202157,Baixa,prazo próximo do vencimento,Acompanhamento da OF 261 - prioridade Baixa,"Prezado fornecedor Fornecedor_1,

A Ordem de Fornecimento 261 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-06-27 00:00:00 e o escore de risco calculado é 0.27.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
262,Fornecedor_20,Tecnologia,46334.95,2023-09-12,-991,0.3673792324780187,Baixa,prazo próximo do vencimento,Acompanhamento da OF 262 - prioridade Baixa,"Prezado fornecedor Fornecedor_20,

A Ordem de Fornecimento 262 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-09-12 00:00:00 e o escore de risco calculado é 0.37.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
263,Fornecedor_10,Equipamentos,42661.42,2023-09-10,-993,0.1470576569609096,Baixa,prazo próximo do vencimento,Acompanhamento da OF 263 - prioridade Baixa,"Prezado fornecedor Fornecedor_10,

A Ordem de Fornecimento 263 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-09-10 00:00:00 e o escore de risco calculado é 0.15.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
264,Fornecedor_19,Equipamentos,26575.96,2023-02-26,-1189,0.2467493909188212,Baixa,prazo próximo do vencimento,Acompanhamento da OF 264 - prioridade Baixa,"Prezado fornecedor Fornecedor_19,

A Ordem de Fornecimento 264 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-02-26 00:00:00 e o escore de risco calculado é 0.25.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
265,Fornecedor_9,Medicamentos,14529.45,2023-07-18,-1047,0.2016809687759135,Baixa,prazo próximo do vencimento,Acompanhamento da OF 265 - prioridade Baixa,"Prezado fornecedor Fornecedor_9,

A Ordem de Fornecimento 265 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-07-18 00:00:00 e o escore de risco calculado é 0.20.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
266,Fornecedor_6,Insumos,43126.51,2023-11-14,-928,0.1636359359294824,Baixa,prazo próximo do vencimento,Acompanhamento da OF 266 - prioridade Baixa,"Prezado fornecedor Fornecedor_6,

A Ordem de Fornecimento 266 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-11-14 00:00:00 e o escore de risco calculado é 0.16.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
267,Fornecedor_3,Tecnologia,15961.28,2023-05-05,-1121,0.1734678316295524,Baixa,prazo próximo do vencimento,Acompanhamento da OF 267 - prioridade Baixa,"Prezado fornecedor Fornecedor_3,

A Ordem de Fornecimento 267 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-05-05 00:00:00 e o escore de risco calculado é 0.17.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
268,Fornecedor_17,Insumos,10608.8,2023-07-13,-1052,0.1581995191972316,Baixa,prazo próximo do vencimento,Acompanhamento da OF 268 - prioridade Baixa,"Prezado fornecedor Fornecedor_17,

A Ordem de Fornecimento 268 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-07-13 00:00:00 e o escore de risco calculado é 0.16.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
269,Fornecedor_10,Equipamentos,10473.11,2023-09-24,-979,0.2775697522795205,Baixa,prazo próximo do vencimento,Acompanhamento da OF 269 - prioridade Baixa,"Prezado fornecedor Fornecedor_10,

A Ordem de Fornecimento 269 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-09-24 00:00:00 e o escore de risco calculado é 0.28.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
270,Fornecedor_4,Equipamentos,35657.99,2023-12-16,-896,0.260494760029353,Baixa,prazo próximo do vencimento,Acompanhamento da OF 270 - prioridade Baixa,"Prezado fornecedor Fornecedor_4,

A Ordem de Fornecimento 270 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-12-16 00:00:00 e o escore de risco calculado é 0.26.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
271,Fornecedor_5,Medicamentos,22098.02,2023-10-15,-958,0.2273678809672485,Baixa,prazo próximo do vencimento,Acompanhamento da OF 271 - prioridade Baixa,"Prezado fornecedor Fornecedor_5,

A Ordem de Fornecimento 271 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-10-15 00:00:00 e o escore de risco calculado é 0.23.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
272,Fornecedor_11,Equipamentos,27204.54,2023-10-23,-950,0.0581561714473222,Baixa,prazo próximo do vencimento,Acompanhamento da OF 272 - prioridade Baixa,"Prezado fornecedor Fornecedor_11,

A Ordem de Fornecimento 272 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-10-23 00:00:00 e o escore de risco calculado é 0.06.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
273,Fornecedor_11,Medicamentos,47268.72,2023-10-12,-961,0.0340625743218587,Baixa,prazo próximo do vencimento,Acompanhamento da OF 273 - prioridade Baixa,"Prezado fornecedor Fornecedor_11,

A Ordem de Fornecimento 273 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-10-12 00:00:00 e o escore de risco calculado é 0.03.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
274,Fornecedor_15,Tecnologia,11070.2,2023-04-29,-1127,0.7765795485474313,Alta,risco preditivo elevado; prazo próximo do vencimento,Acompanhamento da OF 274 - prioridade Alta,"Prezado fornecedor Fornecedor_15,

A Ordem de Fornecimento 274 apresenta prioridade Alta no acompanhamento de entrega. O prazo registrado é 2023-04-29 00:00:00 e o escore de risco calculado é 0.78.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
275,Fornecedor_13,Medicamentos,10910.7,2023-08-25,-1009,0.1059450601468609,Baixa,prazo próximo do vencimento,Acompanhamento da OF 275 - prioridade Baixa,"Prezado fornecedor Fornecedor_13,

A Ordem de Fornecimento 275 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-08-25 00:00:00 e o escore de risco calculado é 0.11.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
276,Fornecedor_16,Insumos,7744.8,2023-03-10,-1177,0.2881953519009961,Baixa,prazo próximo do vencimento,Acompanhamento da OF 276 - prioridade Baixa,"Prezado fornecedor Fornecedor_16,

A Ordem de Fornecimento 276 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-03-10 00:00:00 e o escore de risco calculado é 0.29.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
277,Fornecedor_19,Tecnologia,48500.9,2023-06-08,-1087,0.4338390263317924,Média,prazo próximo do vencimento,Acompanhamento da OF 277 - prioridade Média,"Prezado fornecedor Fornecedor_19,

A Ordem de Fornecimento 277 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-06-08 00:00:00 e o escore de risco calculado é 0.43.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
278,Fornecedor_3,Equipamentos,22786.82,2023-05-27,-1099,0.3576255043927298,Baixa,prazo próximo do vencimento,Acompanhamento da OF 278 - prioridade Baixa,"Prezado fornecedor Fornecedor_3,

A Ordem de Fornecimento 278 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-05-27 00:00:00 e o escore de risco calculado é 0.36.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
279,Fornecedor_6,Tecnologia,28036.38,2023-12-09,-903,0.3205371051719883,Baixa,prazo próximo do vencimento,Acompanhamento da OF 279 - prioridade Baixa,"Prezado fornecedor Fornecedor_6,

A Ordem de Fornecimento 279 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-12-09 00:00:00 e o escore de risco calculado é 0.32.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
280,Fornecedor_5,Insumos,11130.66,2023-10-04,-969,0.3271228048831407,Baixa,prazo próximo do vencimento,Acompanhamento da OF 280 - prioridade Baixa,"Prezado fornecedor Fornecedor_5,

A Ordem de Fornecimento 280 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-10-04 00:00:00 e o escore de risco calculado é 0.33.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
281,Fornecedor_19,Equipamentos,44809.61,2023-07-22,-1043,0.1535792536801331,Baixa,prazo próximo do vencimento,Acompanhamento da OF 281 - prioridade Baixa,"Prezado fornecedor Fornecedor_19,

A Ordem de Fornecimento 281 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-07-22 00:00:00 e o escore de risco calculado é 0.15.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
282,Fornecedor_6,Tecnologia,27494.95,2023-01-28,-1218,0.6925230870799481,Alta,prazo próximo do vencimento,Acompanhamento da OF 282 - prioridade Alta,"Prezado fornecedor Fornecedor_6,

A Ordem de Fornecimento 282 apresenta prioridade Alta no acompanhamento de entrega. O prazo registrado é 2023-01-28 00:00:00 e o escore de risco calculado é 0.69.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
283,Fornecedor_20,Medicamentos,12318.87,2023-07-18,-1047,0.6019514572632088,Média,prazo próximo do vencimento,Acompanhamento da OF 283 - prioridade Média,"Prezado fornecedor Fornecedor_20,

A Ordem de Fornecimento 283 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-07-18 00:00:00 e o escore de risco calculado é 0.60.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
284,Fornecedor_5,Tecnologia,26967.39,2023-05-31,-1095,0.5861746506272152,Média,prazo próximo do vencimento,Acompanhamento da OF 284 - prioridade Média,"Prezado fornecedor Fornecedor_5,

A Ordem de Fornecimento 284 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-05-31 00:00:00 e o escore de risco calculado é 0.59.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
285,Fornecedor_20,Medicamentos,35793.47,2023-12-16,-896,0.237708001063655,Baixa,prazo próximo do vencimento,Acompanhamento da OF 285 - prioridade Baixa,"Prezado fornecedor Fornecedor_20,

A Ordem de Fornecimento 285 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-12-16 00:00:00 e o escore de risco calculado é 0.24.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
286,Fornecedor_19,Medicamentos,24491.65,2023-08-16,-1018,0.1349178165038413,Baixa,prazo próximo do vencimento,Acompanhamento da OF 286 - prioridade Baixa,"Prezado fornecedor Fornecedor_19,

A Ordem de Fornecimento 286 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-08-16 00:00:00 e o escore de risco calculado é 0.13.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
287,Fornecedor_1,Insumos,24673.93,2023-03-02,-1185,0.2536224052546572,Baixa,prazo próximo do vencimento,Acompanhamento da OF 287 - prioridade Baixa,"Prezado fornecedor Fornecedor_1,

A Ordem de Fornecimento 287 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-03-02 00:00:00 e o escore de risco calculado é 0.25.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
288,Fornecedor_6,Medicamentos,12858.58,2023-03-30,-1157,0.6819099200257478,Média,prazo próximo do vencimento,Acompanhamento da OF 288 - prioridade Média,"Prezado fornecedor Fornecedor_6,

A Ordem de Fornecimento 288 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-03-30 00:00:00 e o escore de risco calculado é 0.68.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
289,Fornecedor_15,Tecnologia,46984.36,2023-02-05,-1210,0.6254264942686096,Média,prazo próximo do vencimento,Acompanhamento da OF 289 - prioridade Média,"Prezado fornecedor Fornecedor_15,

A Ordem de Fornecimento 289 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-02-05 00:00:00 e o escore de risco calculado é 0.63.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
290,Fornecedor_6,Medicamentos,40848.22,2023-07-30,-1035,0.2754822115940793,Baixa,prazo próximo do vencimento,Acompanhamento da OF 290 - prioridade Baixa,"Prezado fornecedor Fornecedor_6,

A Ordem de Fornecimento 290 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-07-30 00:00:00 e o escore de risco calculado é 0.28.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
291,Fornecedor_10,Insumos,30389.6,2023-06-11,-1084,0.7321540048489752,Alta,risco preditivo elevado; prazo próximo do vencimento,Acompanhamento da OF 291 - prioridade Alta,"Prezado fornecedor Fornecedor_10,

A Ordem de Fornecimento 291 apresenta prioridade Alta no acompanhamento de entrega. O prazo registrado é 2023-06-11 00:00:00 e o escore de risco calculado é 0.73.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
292,Fornecedor_11,Tecnologia,26764.34,2023-11-24,-918,0.110180758222805,Baixa,prazo próximo do vencimento,Acompanhamento da OF 292 - prioridade Baixa,"Prezado fornecedor Fornecedor_11,

A Ordem de Fornecimento 292 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-11-24 00:00:00 e o escore de risco calculado é 0.11.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
293,Fornecedor_3,Medicamentos,30952.62,2023-08-24,-1010,0.5617188558208056,Média,prazo próximo do vencimento,Acompanhamento da OF 293 - prioridade Média,"Prezado fornecedor Fornecedor_3,

A Ordem de Fornecimento 293 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-08-24 00:00:00 e o escore de risco calculado é 0.56.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
294,Fornecedor_18,Tecnologia,28181.08,2023-05-04,-1122,0.3247024704506803,Baixa,prazo próximo do vencimento,Acompanhamento da OF 294 - prioridade Baixa,"Prezado fornecedor Fornecedor_18,

A Ordem de Fornecimento 294 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-05-04 00:00:00 e o escore de risco calculado é 0.32.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
295,Fornecedor_17,Tecnologia,38885.97,2023-09-11,-992,0.3430760326920443,Baixa,prazo próximo do vencimento,Acompanhamento da OF 295 - prioridade Baixa,"Prezado fornecedor Fornecedor_17,

A Ordem de Fornecimento 295 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-09-11 00:00:00 e o escore de risco calculado é 0.34.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
296,Fornecedor_19,Equipamentos,49123.25,2023-03-04,-1183,0.2534529983772789,Baixa,prazo próximo do vencimento,Acompanhamento da OF 296 - prioridade Baixa,"Prezado fornecedor Fornecedor_19,

A Ordem de Fornecimento 296 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-03-04 00:00:00 e o escore de risco calculado é 0.25.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
297,Fornecedor_18,Equipamentos,46605.11,2023-02-26,-1189,0.7173298493634906,Alta,risco preditivo elevado; prazo próximo do vencimento,Acompanhamento da OF 297 - prioridade Alta,"Prezado fornecedor Fornecedor_18,

A Ordem de Fornecimento 297 apresenta prioridade Alta no acompanhamento de entrega. O prazo registrado é 2023-02-26 00:00:00 e o escore de risco calculado é 0.72.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
298,Fornecedor_5,Tecnologia,13500.13,2023-06-12,-1083,0.6608200632102866,Média,prazo próximo do vencimento,Acompanhamento da OF 298 - prioridade Média,"Prezado fornecedor Fornecedor_5,

A Ordem de Fornecimento 298 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-06-12 00:00:00 e o escore de risco calculado é 0.66.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
299,Fornecedor_11,Equipamentos,22686.74,2023-12-07,-905,0.1269157342631318,Baixa,prazo próximo do vencimento,Acompanhamento da OF 299 - prioridade Baixa,"Prezado fornecedor Fornecedor_11,

A Ordem de Fornecimento 299 apresenta prioridade Baixa no acompanhamento de entrega. O prazo registrado é 2023-12-07 00:00:00 e o escore de risco calculado é 0.13.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
300,Fornecedor_2,Equipamentos,3177.08,2023-01-19,-1227,0.4841978388834974,Média,prazo próximo do vencimento,Acompanhamento da OF 300 - prioridade Média,"Prezado fornecedor Fornecedor_2,

A Ordem de Fornecimento 300 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-01-19 00:00:00 e o escore de risco calculado é 0.48.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
301,Fornecedor_17,Medicamentos,34421.48,2023-11-27,-915,0.6443981918112481,Média,prazo próximo do vencimento,Acompanhamento da OF 301 - prioridade Média,"Prezado fornecedor Fornecedor_17,

A Ordem de Fornecimento 301 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-11-27 00:00:00 e o escore de risco calculado é 0.64.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
302,Fornecedor_16,Medicamentos,35379.08,2023-08-09,-1025,0.6311953763119892,Média,prazo próximo do vencimento,Acompanhamento da OF 302 - prioridade Média,"Prezado fornecedor Fornecedor_16,

A Ordem de Fornecimento 302 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-08-09 00:00:00 e o escore de risco calculado é 0.63.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
303,Fornecedor_6,Tecnologia,46942.81,2023-05-16,-1110,0.6621639297413429,Média,prazo próximo do vencimento,Acompanhamento da OF 303 - prioridade Média,"Prezado fornecedor Fornecedor_6,

A Ordem de Fornecimento 303 apresenta prioridade Média no acompanhamento de entrega. O prazo registrado é 2023-05-16 00:00:00 e o escore de risco calculado é 0.66.

Solicitamos confirmação do status da entrega e previsão atualizada, quando aplicável.

Esta mensagem foi gerada pelo protótipo de monitoramento de compras públicas.",simulado
